time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-10-19T04:35:38.166Z,37.7231,92.2724,29.683,5.3,mww,114,31,11.223,0.85,us,us6000iurr,2022-11-23T22:38:28.963Z,"northern Qinghai, China",earthquake,5.41,3.3,0.093,11,reviewed,us,us
2022-10-18T12:09:45.297Z,32.3641,78.6637,10,4.5,mb,77,88,4.711,0.61,us,us6000iuid,2022-10-25T11:05:47.040Z,"125 km NE of Sar?han, India",earthquake,7.79,1.842,0.077,50,reviewed,us,us
2022-10-17T08:48:23.111Z,33.5679,81.8588,10,4.7,mb,112,50,6.459,0.33,us,us6000iu98,2022-11-17T07:54:52.040Z,"western Xizang",earthquake,3.66,1.791,0.062,80,reviewed,us,us
2022-10-16T15:02:05.771Z,40.1855,83.2142,10.068,4.9,mb,88,57,4.199,0.43,us,us6000iu4w,2022-10-23T20:01:57.040Z,"",earthquake,8.23,4.049,0.062,84,reviewed,us,us
2022-10-16T08:54:30.684Z,39.334,78.2297,10,4.9,mb,113,41,2.414,0.59,us,us6000iu3h,2022-11-11T07:30:27.040Z,"133 km NE of Shache, China",earthquake,6.65,1.808,0.054,107,reviewed,us,us
2022-10-16T00:52:13.602Z,22.8755,95.9272,10,4.6,mb,71,104,2.335,0.4,us,us6000iu1q,2022-11-10T03:45:05.313Z,"Myanmar",earthquake,7.03,1.888,0.079,48,reviewed,us,us
2022-10-14T13:19:13.983Z,9.1283,94.0138,10,4.5,mb,33,81,2.805,0.57,us,us6000itm8,2022-10-25T11:45:54.040Z,"Nicobar Islands, India region",earthquake,4.17,1.891,0.144,17,reviewed,us,us
2022-10-13T23:58:22.572Z,23.3661,82.4336,10,4.9,mb,102,42,5.108,0.75,us,us6000itig,2022-11-06T01:45:46.874Z,"17 km NW of Baikunthpur, India",earthquake,8.49,1.812,0.048,137,reviewed,us,us
2022-10-12T10:02:13.658Z,36.9227,95.7811,10,4.7,mb,32,101,13.418,0.56,us,us6000isz0,2022-10-27T04:25:19.040Z,"northern Qinghai, China",earthquake,12.05,1.922,0.12,21,reviewed,us,us
2022-10-11T08:10:20.201Z,36.8088,66.8796,36.415,4.9,mb,55,79,2.501,0.77,us,us6000isnu,2022-11-23T14:40:06.040Z,"6 km NNW of Balkh, Afghanistan",earthquake,6.48,6.839,0.071,62,reviewed,us,us
